surname,district,count,percent
เกี่ยวข้อง,กระบี่,4,0.2
พันธุ์วิชาติกุล,กระบี่,8,0.4
เอ่งฉ้วน,กระบี่,8,0.4
ปัทมะ,กรุงเทพมหานคร,1,0.003086419753
ขำอาจ,กรุงเทพมหานคร,1,0.003086419753
คงอุดม,กรุงเทพมหานคร,1,0.003086419753
งามสุคนธ์รัตนา,กรุงเทพมหานคร,1,0.003086419753
จิตต์อิสระ,กรุงเทพมหานคร,1,0.003086419753
จินตโสภณ,กรุงเทพมหานคร,1,0.003086419753
จิรกิติ,กรุงเทพมหานคร,1,0.003086419753
ชาติอุทิศ,กรุงเทพมหานคร,1,0.003086419753
ชินวัตร,กรุงเทพมหานคร,1,0.003086419753
ชื่นสมจิตต์,กรุงเทพมหานคร,1,0.003086419753
ชุติมันต์,กรุงเทพมหานคร,1,0.003086419753
ซำศิริพงษ์,กรุงเทพมหานคร,1,0.003086419753
ดิศกุล,กรุงเทพมหานคร,1,0.003086419753
ดุษฎีสุรพจน์,กรุงเทพมหานคร,1,0.003086419753
ตะล่อมสิน,กรุงเทพมหานคร,1,0.003086419753
ตันศิริ,กรุงเทพมหานคร,1,0.003086419753
ถนอมสินธุ์,กรุงเทพมหานคร,1,0.003086419753
ทองศิริ,กรุงเทพมหานคร,1,0.003086419753
ทิวไผ่งาม,กรุงเทพมหานคร,1,0.003086419753
ธรรมเกษร,กรุงเทพมหานคร,1,0.003086419753
นิมมานเหมินท์,กรุงเทพมหานคร,1,0.003086419753
บรรทัดฐาน,กรุงเทพมหานคร,1,0.003086419753
บุญช่วยเหลือ,กรุงเทพมหานคร,1,0.003086419753
บุญไชยอินสวัสดิ์,กรุงเทพมหานคร,1,0.003086419753
ประจวบเหมาะ,กรุงเทพมหานคร,1,0.003086419753
พงศ์เรืองรอง,กรุงเทพมหานคร,1,0.003086419753
พรนิมิตร,กรุงเทพมหานคร,1,0.003086419753
พรพงษาโรจน์,กรุงเทพมหานคร,1,0.003086419753
พรหมบุญ,กรุงเทพมหานคร,1,0.003086419753
พร้อมพันธุ์,กรุงเทพมหานคร,1,0.003086419753
พัฒนพันธ์ชัย,กรุงเทพมหานคร,1,0.003086419753
พิสิษฐบรรณกร,กรุงเทพมหานคร,1,0.003086419753
ภมรมนตรี,กรุงเทพมหานคร,1,0.003086419753
ภัททิยกุล,กรุงเทพมหานคร,1,0.003086419753
ภัทรโกศล,กรุงเทพมหานคร,1,0.003086419753
มะหะหมัด,กรุงเทพมหานคร,1,0.003086419753
มุกดาหาร,กรุงเทพมหานคร,1,0.003086419753
ยมจินดา,กรุงเทพมหานคร,1,0.003086419753
รอดโพธิ์ทอง,กรุงเทพมหานคร,1,0.003086419753
รังสิตพล,กรุงเทพมหานคร,1,0.003086419753
รัสมี,กรุงเทพมหานคร,1,0.003086419753
ลิ่วเฉลิมวงศ์,กรุงเทพมหานคร,1,0.003086419753
ลิ้มจิตรกร,กรุงเทพมหานคร,1,0.003086419753
วงศ์อารยะ,กรุงเทพมหานคร,1,0.003086419753
วรกานนท์,กรุงเทพมหานคร,1,0.003086419753
วัชโรบล,กรุงเทพมหานคร,1,0.003086419753
วิกิตเศรษฐ์,กรุงเทพมหานคร,1,0.003086419753
วิภูศิริ,กรุงเทพมหานคร,1,0.003086419753
วิเศษรัตน์,กรุงเทพมหานคร,1,0.003086419753
ศิริรังษี,กรุงเทพมหานคร,1,0.003086419753
ศุภมงคล,กรุงเทพมหานคร,1,0.003086419753
สระมาลา,กรุงเทพมหานคร,1,0.003086419753
สวนานนท์,กรุงเทพมหานคร,1,0.003086419753
สาคริก,กรุงเทพมหานคร,1,0.003086419753
สุขถิ่นไทย,กรุงเทพมหานคร,1,0.003086419753
สุดสวงค์,กรุงเทพมหานคร,1,0.003086419753
สุนทรวัฒน์,กรุงเทพมหานคร,1,0.003086419753
สุ่นศิริ,กรุงเทพมหานคร,1,0.003086419753
สู่ศุภอรรถ,กรุงเทพมหานคร,1,0.003086419753
หลักสุวรรณ,กรุงเทพมหานคร,1,0.003086419753
หวังบุญเกิด,กรุงเทพมหานคร,1,0.003086419753
หุตะสิงห์,กรุงเทพมหานคร,1,0.003086419753
อนันต์นาคินทร์,กรุงเทพมหานคร,1,0.003086419753
อรัณยกานนท์,กรุงเทพมหานคร,1,0.003086419753
อุไรรัตน์,กรุงเทพมหานคร,1,0.003086419753
ฮุนตระกูล,กรุงเทพมหานคร,1,0.003086419753
เจนจาคะ,กรุงเทพมหานคร,1,0.003086419753
เตชะโสภณมณี,กรุงเทพมหานคร,1,0.003086419753
เทียนทอง,กรุงเทพมหานคร,1,0.003086419753
