surname,district,past_local,present_local,past_national,present_national,raw_total
เทียนทอง,สระแก้ว,1,1,1,1,36
ศิลปอาชา,สุพรรณบุรี,0,0,1,1,31
สะสมทรัพย์,นครปฐม,0,1,1,1,29
ชิดชอบ,บุรีรัมย์,1,0,1,1,24
ขจรประศาสน์,พิจิตร,0,0,1,1,22
ทองศรี,บุรีรัมย์,1,0,1,1,22
คุณปลื้ม,ชลบุรี,1,1,1,1,22
เทือกสุบรรณ,สุราษฎร์ธานี,1,0,1,0,19
ลิปตพัลลภ,นครราชสีมา,0,0,1,1,19
อดิเรกสาร,สระบุรี,0,0,1,0,19
เทพสุทิน,สุโขทัย,0,0,1,1,19
ลักษณวิศิษฏ์,พังงา,0,0,1,1,1
ฉายแสง,ฉะเชิงเทรา,0,0,1,0,18
หาญสวัสดิ์,ปทุมธานี,0,0,1,0,18
โพธสุธน,สุพรรณบุรี,0,0,1,1,17
ปริศนานันทกุล,อ่างทอง,0,0,1,1,17
เทียนทอง,ปราจีนบุรี,0,0,1,0,16
จันทรสุรินทร์,ลำปาง,0,0,1,1,16
ปิตุเตชะ,ระยอง,1,1,1,1,16
คุณกิตติ,ขอนแก่น,0,0,1,0,16
โล่ห์สุนทร,ลำปาง,0,1,1,1,16
อมรวิวัฒน์,เชียงใหม่,0,0,1,1,16
อัศวเหม,สมุทรปราการ,1,0,1,1,16
รัตนเศรษฐ,นครราชสีมา,0,0,1,1,15
สุวรรณคีรี,สงขลา,0,0,1,0,15
แก้วทอง,พิจิตร,1,0,1,0,15
จินตะเวช,อุบลราชธานี,0,0,1,1,15
เสนเนียม,สงขลา,0,0,1,1,15
ตันเจริญ,ฉะเชิงเทรา,1,0,1,1,15
คำประกอบ,นครสวรรค์,0,0,1,1,14
อยู่บำรุง,กรุงเทพมหานคร,0,0,1,1,14
กลิ่นประทุม,ราชบุรี,0,0,1,1,14
พร้อมพัฒน์,เพชรบูรณ์,0,0,1,1,14
ศรีธเรศ,กาฬสินธุ์,0,0,1,1,14
จรรย์โกมล,ชัยภูมิ,1,0,1,0,14
ไชยสาส์น,อุดรธานี,0,0,1,1,14
วันไชยธนวงศ์,เชียงราย,1,1,1,1,14
จันทร์ประสงค์,นนทบุรี,0,0,1,1,14
วิลาวัลย์,ปราจีนบุรี,1,1,1,1,14
วัชราภรณ์,ศรีสะเกษ,0,0,1,0,14
เทียนทอง,กรุงเทพมหานคร,0,0,1,0,13
มะทา,ยะลา,1,1,1,1,13
เอื้ออภิญญกุล,แพร่,0,0,1,0,13
พั้วช่วย,เพชรบูรณ์,1,0,1,1,13
หลีกภัย,ตรัง,1,0,1,1,13
คนสมบูรณ์,ชัยภูมิ,1,0,1,1,13
ไกรวัตนุสสรณ์,สมุทรสาคร,1,1,1,0,13
สุวรรณฉวี,นครราชสีมา,1,0,1,0,13
มุ่งเจริญพร,สุรินทร์,1,1,1,1,13
เอ่งฉ้วน,กระบี่,1,0,1,0,13
เร่งสมบูรณ์สุข,เลย,0,0,1,0,12
จุรีมาศ,ร้อยเอ็ด,1,0,1,1,12
ทองใจสด,เพชรบูรณ์,1,1,1,1,12
เวชชาชีวะ,จันทบุรี,0,0,1,1,12
เกยุราพันธุ์,กรุงเทพมหานคร,0,0,1,0,12
ประเสริฐสุวรรณ,สุพรรณบุรี,1,0,1,1,12
เงินหมื่น,อำนาจเจริญ,0,0,1,1,12
ทิมสุวรรณ,เลย,1,1,1,1,12
เตชะไพบูลย์,บุรีรัมย์,0,0,1,0,12
เวชชาชีวะ,กรุงเทพมหานคร,0,0,1,1,12
นามบุตร,อุบลราชธานี,0,0,1,1,12
ทัพพะรังสี,นครราชสีมา,0,0,1,0,12
ศักดิเศรษฐ์,นครศรีธรรมราช,0,0,1,0,12
หัตถสงเคราะห์,หนองบัวลำภู,0,0,1,1,12
มูลศาสตรสาทร,สุรินทร์,0,0,1,0,12
ภัทรประสิทธิ์,พิจิตร,0,1,1,0,12
คงเพชร,ร้อยเอ็ด,1,0,1,1,12
ไชยนันทน์,ตาก,0,0,1,1,12
สุนทรเวช,กรุงเทพมหานคร,0,0,1,0,12
เตชะธีราวัฒน์,เชียงราย,0,0,1,1,11
ยงใจยุทธ,นครพนม,0,0,1,0,11
รัตนากร,กำแพงเพชร,1,1,1,0,11
นาเมืองรักษ์,ร้อยเอ็ด,1,0,1,1,11
อังกินันทน์,เพชรบุรี,1,1,1,0,11
บรรทัดฐาน,สุราษฎร์ธานี,0,0,1,1,11
ชินวัตร,เชียงใหม่,0,0,1,0,11
เที่ยงธรรม,สุพรรณบุรี,0,0,1,1,11
ขาวขำ,อุดรธานี,1,1,1,1,11
มาศดิตถ์,นครศรีธรรมราช,0,0,1,0,11
ยงใจยุทธ,นนทบุรี,0,0,1,0,11
วรปัญญา,ลพบุรี,0,0,1,0,11
สงวนวงศ์ชัย,ชัยภูมิ,1,0,1,0,11
โควสุรัตน์,อุบลราชธานี,1,0,1,1,11
ภุมมะกาญจนะ,ปราจีนบุรี,0,0,1,1,11
ศรีตะบุตร,หนองคาย,1,1,1,0,11
ฟองงาม,อุบลราชธานี,1,0,1,1,11
สมชัย,อุบลราชธานี,0,0,1,1,10
ธรรมเพชร,พัทลุง,1,1,1,0,10
สงฆ์ประชา,ชัยนาท,0,0,1,1,10
วงศ์วรรณ,แพร่,1,1,1,0,10
ลิกค์,กำแพงเพชร,0,0,1,1,10
เพียงเกษ,ขอนแก่น,0,0,1,0,10
วงศ์สวัสดิ์,เชียงใหม่,0,0,1,0,10
ลิมปะพันธุ์,สุโขทัย,0,0,1,1,10
สุขธนะ,อุดรธานี,1,0,1,0,10
กัลป์ตินันท์,อุบลราชธานี,0,1,1,1,10
ติยะไพรัช,เชียงราย,0,0,1,1,10
พันธุ์วิชาติกุล,กระบี่,0,0,1,1,10
ชัยวิรัตนะ,ชัยภูมิ,0,0,1,0,10
เอียสกุล,หนองคาย,0,0,1,0,10
ชินวัตร,กรุงเทพมหานคร,0,0,1,0,10
พลบุตร,เพชรบุรี,0,0,1,0,10
จิระพันธุ์วาณิช,ลพบุรี,1,1,1,1,10
บุณยเกียรติ,นครศรีธรรมราช,0,0,1,1,10
อรรณนพพร,ขอนแก่น,0,0,1,1,10
เกียรติสุรนนท์,ขอนแก่น,0,0,1,0,10
อนรรฆพันธ์,เพชรบูรณ์,1,0,1,1,10
ขามช่วง,ร้อยเอ็ด,1,0,1,1,10
ครุฑขุนทด,นครราชสีมา,0,0,1,0,10
พรพฤฒิพันธุ์,เพชรบูรณ์,1,0,1,1,10
ศรีวรขาน,นครพนม,0,0,1,1,9
ชามพูนท,พิษณุโลก,0,0,1,0,9
แขวัฒนะ,พระนครศรีอยุธยา,0,0,1,0,9
ชาญนุกูล,นครราชสีมา,0,0,1,0,9
แก้วพิจิตร,นครปฐม,0,0,1,1,9
ศิริพานิชย์,มหาสารคาม,0,0,1,1,9
ศิริวัฒน์,อุตรดิตถ์,0,0,1,0,9
ซารัมย์,บุรีรัมย์,0,0,1,1,9
ร่วมพัฒนา,สุรินทร์,1,0,1,0,9
ณ เชียงใหม่,เชียงใหม่,0,0,1,0,9
สนิทวงศ์ชัย,อุดรธานี,0,0,1,0,9
เปาอินทร์,อ่างทอง,1,0,1,0,9
วงศ์วรรณ,ลำพูน,0,1,1,0,9
นาคาศัย,ชัยนาท,1,1,1,1,9
บุญ-หลง,นครนายก,1,0,1,0,9
บุญญามณี,สงขลา,1,0,1,1,9
เงินหมื่น,อุบลราชธานี,0,0,1,1,9
มุสิกุล,กำแพงเพชร,0,0,1,0,9
บูรณ์พงศ์,นครพนม,0,0,1,1,9
มนะสิการ,พิษณุโลก,0,0,1,0,9
อ่อนละมัย,ชุมพร,0,0,1,1,9
พงษ์พานิช,พระนครศรีอยุธยา,0,0,1,0,9
อินทรสมบัติ,พัทลุง,0,0,1,0,9
พริ้งศุลกะ,สุราษฎร์ธานี,0,0,1,1,9
พลซื่อ,ร้อยเอ็ด,0,1,1,0,9
ไวนิยมพงศ์,ร้อยเอ็ด,1,0,1,0,9
ไกรฤกษ์,พิษณุโลก,0,0,1,1,9
จารุสมบัติ,หนองคาย,0,0,1,0,9
กาญจนะ,สุราษฎร์ธานี,0,0,1,1,9
รัตนเสถียร,นนทบุรี,0,0,1,0,8
สิรินุกุล,กาญจนบุรี,0,0,1,0,8
หงสกุล,กรุงเทพมหานคร,0,0,1,0,8
จันทาทอง,หนองคาย,0,0,1,1,8
แก้วภราดัย,นครศรีธรรมราช,0,0,1,0,8
เลาหพงศ์ชนะ,อุบลราชธานี,0,0,1,1,8
กิตติธเนศวร,นครนายก,0,0,1,1,8
โชคชัยวัฒนากร,มหาสารคาม,0,0,1,1,8
ร่มเย็น,ระนอง,0,0,1,0,8
จันทร์พิทักษ์,กรุงเทพมหานคร,0,0,1,0,8
เรี่ยวแรง,นนทบุรี,1,0,1,1,8
รัตนพันธ์,นครศรีธรรมราช,1,0,1,1,8
พัธโนทัย,สมุทรปราการ,0,0,1,0,8
พันธ์เจริญวรกุล,พระนครศรีอยุธยา,1,1,1,1,8
สุปริยศิลป์,น่าน,0,0,1,1,8
ตรีทอง,ลำปาง,0,0,1,0,8
พิศสุวรรณ,นครศรีธรรมราช,0,0,1,0,8
ม่วงศิริ,กรุงเทพมหานคร,0,0,1,0,8
ใจสมุทร,สตูล,0,0,1,1,8
ประเสริฐโสภา,ราชบุรี,1,0,1,1,8
วงศ์หนองเตย,ตรัง,0,0,1,1,8
บรรทัดฐาน,กรุงเทพมหานคร,0,0,1,1,8
เพศประเสริฐ,นครราชสีมา,0,0,1,0,8
โพธิพิพิธ,กาญจนบุรี,0,0,1,1,8
วิชัยกุล,นครศรีธรรมราช,0,0,1,1,8
บรรณวัฒน์,ตาก,0,0,1,1,8
ศิริลัทธยากร,ฉะเชิงเทรา,0,0,1,1,8
ศรีสุรินทร์,สุรินทร์,0,0,1,1,8
นิลวัชรมณี,สุราษฎร์ธานี,0,0,1,1,8
นิโรจน์,นครสวรรค์,0,0,1,1,7
พะลัง,ชุมพร,0,0,1,0,7
พัฒโน,สงขลา,0,0,1,0,7
ทองปากน้ำ,สุโขทัย,1,0,1,0,7
นุ้ยปรี,อุทัยธานี,1,1,1,0,7
ทรงคำ,เชียงใหม่,1,0,1,1,7
พันธ์เกษม,นครราชสีมา,1,0,1,1,7
คันธวงศ์,กรุงเทพมหานคร,0,0,1,0,7
ทองสมัคร,นครศรีธรรมราช,0,0,1,0,7
เตาะเจริญสุข,ขอนแก่น,1,0,1,1,7
คล้ามไพบูลย์,กรุงเทพมหานคร,0,0,1,1,7
ทับสุวรรณ,สมุทรสาคร,0,0,1,1,7
