surname,district,name,party,position_set,position,start_year
วันไชยธนวงศ์,เชียงราย,อทิตาธร,พรรคเพื่อไทย,,นายก อบจ.,2563
วันไชยธนวงศ์,เชียงราย,รังสรรค์,พรรคเพื่อไทย,25,ส.ส.,2562
วันไชยธนวงศ์,เชียงราย,อทิตาธร,,,ส. อบจ.,2555
วันไชยธนวงศ์,เชียงราย,สุธีระพงษ์,,,ส. อบจ.,2555
วันไชยธนวงศ์,เชียงราย,สมบูรณ์,พรรคชาติพัฒนา,18,ส.ส.,2535
วันไชยธนวงศ์,เชียงราย,สมบูรณ์,พรรคชาติไทย,19,ส.ส.,2538
วันไชยธนวงศ์,เชียงราย,สมบูรณ์,พรรคความหวังใหม่,20,ส.ส.,2539
วันไชยธนวงศ์,เชียงราย,สมบูรณ์,พรรคไทยรักไทย,21,ส.ส.,2544
วันไชยธนวงศ์,เชียงราย,สมบูรณ์,พรรคไทยรักไทย,22,ส.ส.,2548
วันไชยธนวงศ์,เชียงราย,รังสรรค์,พรรคพลังประชาชน,23,ส.ส.,2550
วันไชยธนวงศ์,เชียงราย,รังสรรค์,พรรคเพื่อไทย,24,ส.ส.,2554
วันไชยธนวงศ์,เชียงราย,สมบูรณ์,พรรคเพื่อไทย,22,ส.ส.,2548
วันไชยธนวงศ์,เชียงราย,สมบูรณ์,พรรคพลังประชาชน,22,ส.ส.,2548
เลิศพงศ์อดิศร,เชียงใหม่,พิชัย,พรรคเพื่อไทย,,นายก อบจ.,2563
ถาวงศ์,น่าน,นพรัตน์,พรรคเพื่อไทย,,นายก อบจ.,2563
ถาวงศ์,น่าน,นพรัตน์,,,ส. อบจ.,2555
พรหมเผ่า,พะเยา,อัครา,พรรคพลังประชารัฐ,,นายก อบจ.,2563
พรหมเผ่า,พะเยา,ธรรมนัส,พรรคพลังประชารัฐ,25,ส.ส.,2562
พรหมเผ่า,พะเยา,ธรรมนัส,พรรคพลังประชารัฐ,62,ครม.,2562
วงศ์วรรณ,แพร่,อนุวัธ,พรรคเพื่อไทย,,นายก อบจ.,2563
วงศ์วรรณ,แพร่,อนุวัธ,พรรคเพื่อไทย,,นายก/รองนายก อบจ.,2555
วงศ์วรรณ,แพร่,ณรงค์,พรรคสามัคคีธรรม,17,ส.ส.,2535
วงศ์วรรณ,แพร่,ณรงค์,พรรคชาติไทย,18,ส.ส.,2535
วงศ์วรรณ,แพร่,อนุวัธ,พรรคไทยรักไทย,22,ส.ส.,2548
วงศ์วรรณ,แพร่,ณรงค์,พรรคสามัคคีธรรม,48,ครม.,2535
วงศ์วรรณ,แพร่,อนุสรณ์,อิสระ,51,ครม.,2538
วงศ์วรรณ,แพร่,อนุสรณ์,พรรคชาติพัฒนา,53,ครม.,2540
วงศ์วรรณ,แพร่,อนุสรณ์,พรรคพลังประชาชน,57,ครม.,2551
วงศ์วรรณ,แพร่,อนุสรณ์,พรรคพลังประชาชน,57,ครม.,2551
วันไชยธนวงศ์,แม่ฮ่องสอน,อัครเดช,พรรคชาติไทยพัฒนา,,นายก อบจ.,2563
วันไชยธนวงศ์,แม่ฮ่องสอน,อัครเดช,พรรคชาติไทยพัฒนา,,นายก/รองนายก อบจ.,2555
วันไชยธนวงศ์,แม่ฮ่องสอน,อดุลย์,พรรคพลังประชาชน,23,ส.ส.,2550
วันไชยธนวงศ์,แม่ฮ่องสอน,สมบูรณ์,พรรคเพื่อไทย,22,ส.ส.,2548
วันไชยธนวงศ์,แม่ฮ่องสอน,สมบูรณ์,พรรคพลังประชาชน,22,ส.ส.,2548
โล่ห์สุนทร,ลำปาง,ตวงรัตน์,พรรคเพื่อไทย,,นายก อบจ.,2563
โล่ห์สุนทร,ลำปาง,กิตติกร,พรรคเพื่อไทย,25,ส.ส.,2562
โล่ห์สุนทร,ลำปาง,ไพโรจน์,พรรคเพื่อไทย,25,ส.ส.,2562
โล่ห์สุนทร,ลำปาง,ไพโรจน์,พรรคสามัคคีธรรม,17,ส.ส.,2535
โล่ห์สุนทร,ลำปาง,ไพโรจน์,พรรคชาติพัฒนา,18,ส.ส.,2535
โล่ห์สุนทร,ลำปาง,ไพโรจน์,พรรคชาติพัฒนา,19,ส.ส.,2538
โล่ห์สุนทร,ลำปาง,ไพโรจน์,พรรคชาติพัฒนา,20,ส.ส.,2539
โล่ห์สุนทร,ลำปาง,ไพโรจน์,พรรคไทยรักไทย,21,ส.ส.,2544
โล่ห์สุนทร,ลำปาง,ไพโรจน์,พรรคไทยรักไทย,22,ส.ส.,2548
โล่ห์สุนทร,ลำปาง,กิตติกร,พรรคไทยรักไทย,22,ส.ส.,2548
โล่ห์สุนทร,ลำปาง,กิตติกร,พรรคพลังประชาชน,23,ส.ส.,2550
