surname,name,district,position,party
กัลป์ตินันท์,มวลชน,อุบลราชธานี,ส. อบจ.,
กัลป์ตินันท์,กานต์,อุบลราชธานี,นายก อบจ.,
ขาวขำ,วิเชียร,อุดรธานี,นายก อบจ.,เพื่อไทย
ขาวขำ,ดนัย,อุดรธานี,ส. อบจ.,
ขาวขำ,เทียบจุฑา,อุดรธานี,ส.ส. เขต,เพื่อไทย
คุณปลื้ม,วิทยา,ชลบุรี,นายก อบจ.,พลังประชารัฐ
คุณปลื้ม,อิทธิพล,,ครม.,พลังประชารัฐ
จันทร์สุวรรณ,จรัลชัย,สุพรรณบุรี,ส. อบจ.,
จันทร์สุวรรณ,บุญชู,สุพรรณบุรี,นายก อบจ.,
จ่าแก้ว,พงษ์ศักดิ์,สุราษฎร์ธานี,นายก อบจ.,
จ่าแก้ว,สิริจันทร์,สุราษฎร์ธานี,ส. อบจ.,
จิระพันธุ์วาณิช,มัลลิกา,ลพบุรี,ส.ส. เขต,ภูมิใจไทย
จิระพันธุ์วาณิช,อรพิน,ลพบุรี,นายก อบจ.,ภูมิใจไทย
เดชเดโช,กนกพร,นครศรีธรรมราช,นายก อบจ.,ประชาธิปัตย์
เดชเดโช,พิชิตชัย,นครศรีธรรมราช,ส. อบจ.,
เดชเดโช,ชัยชนะ,นครศรีธรรมราช,ส.ส. เขต,ประชาธิปัตย์
ตั้งวานิชกพงษ์,อนุชา,ขอนแก่น,ส. อบจ.,
ตั้งวานิชกพงษ์,พงษ์ศักดิ์,ขอนแก่น,นายก อบจ.,
ไตรสรณกุล,วิชิต,ศรีสะเกษ,นายก อบจ.,พลังประชารัฐ
ไตรสรณกุล,นริตา,ศรีสะเกษ,ส. อบจ.,
ไตรสรณกุล,ธีระ,ศรีสะเกษ,ส.ส. เขต,เพื่อไทย
ทวีเกื้อกูลกิจ,ณัฐวุฒิ,ตาก,นายก อบจ.,พลังประชารัฐ
ทวีเกื้อกูลกิจ,ธนัสถ์,ตาก,ส.ส. เขต,พลังประชารัฐ
ทองใจสด,อัครเดช,เพชรบูรณ์,นายก อบจ.,พลังประชารัฐ
ทองใจสด,เทียนทอง,เพชรบูรณ์,ส. อบจ.,
ทองใจสด,เอี่ยม,เพชรบูรณ์,ส.ส. เขต,พลังประชารัฐ
ทองศรี,แว่นฟ้า,บึงกาฬ,นายก อบจ.,ภูมิใจไทย
ทองศรี,ทรงศักดิ์,,ครม.,ภูมิใจไทย
ทิมสุวรรณ,ธนยศ,เลย,ส.ส. เขต,ภูมิใจไทย
ทิมสุวรรณ,ธนาวุฒิ,เลย,นายก อบจ.,ภูมิใจไทย
ทิมสุวรรณ,ศรัณย์,เลย,ส.ส. เขต,เพื่อไทย
เทียนทอง,ขวัญเรือน,สระแก้ว,นายก อบจ.,พลังประชารัฐ
เทียนทอง,สนธิเดช,สระแก้ว,ส. อบจ.,
เทียนทอง,ฐานิสร์,สระแก้ว,ส.ส. เขต,พลังประชารัฐ
เทียนทอง,ตรีนุช,สระแก้ว,ส.ส. เขต,พลังประชารัฐ
นาคาศัย,อนุชา,ชัยนาท,ส.ส. เขต,พลังประชารัฐ
นาคาศัย,อนุสรณ์,ชัยนาท,นายก อบจ.,พลังประชารัฐ
นาคาศัย,อนุชา,,ครม.,
นิติกาญจนา,บุญยิ่ง,ราชบุรี,ส.ส. เขต,พลังประชารัฐ
